adx,vol_ratio,rsi,macd_hist,atr_pct,dist_ema250_pct,trend_dir,is_win,coin,date
19.80428061451454,0.9035672416328908,41.27901529738565,-244.99397829299434,1.4246409203788402,2.979710517128181,1.0,1,BTC,2024-07-25 00:00:00
22.383397849024316,1.5168786727517192,62.40445021153684,264.5429686469843,1.4851645215947533,6.128962261601562,1.0,0,BTC,2024-07-26 16:00:00
24.03211393230834,2.2418607604498204,46.345401425144935,-75.08271502800005,1.618140939894078,4.673947276681274,1.0,0,BTC,2024-07-29 20:00:00
23.469301704339426,0.7102009773130268,42.655240393579966,-182.4363723483911,1.6186295022358619,3.822735504397719,1.0,0,BTC,2024-07-30 00:00:00
23.583662604428348,1.1951230482286515,41.54314090604205,-255.23894498035656,1.6188568340872171,3.537600260937187,1.0,0,BTC,2024-07-30 04:00:00
23.549537781960105,0.5289251776162041,44.64765265825444,-270.5380500229518,1.5682850876320695,4.014695456797735,1.0,0,BTC,2024-07-30 08:00:00
23.51785044681102,0.5173614249030318,41.86604517346831,-293.6806398448539,1.5287834287212598,3.3934819568105707,1.0,0,BTC,2024-07-30 12:00:00
16.373757058283246,2.1193416633732665,37.75390659333669,-238.74276668494693,2.3342749549354997,-7.841503287670561,-1.0,0,BTC,2024-08-15 20:00:00
11.855048565959688,2.0059023853069973,61.94826913063819,93.56227850284381,1.512966120425166,-1.1944303007607369,-1.0,0,BTC,2024-08-20 04:00:00
13.083992620772907,1.4351003817300347,63.82552476409362,177.6584872279296,1.4970590945046107,-0.6813391573053657,-1.0,0,BTC,2024-08-20 08:00:00
13.982033775340884,0.8848007006529391,59.69906944114513,195.02551376765084,1.4659083881952713,-1.331284236023574,-1.0,0,BTC,2024-08-20 12:00:00
11.352654982721338,1.742870785872272,63.16096554482179,120.38125685690272,1.7142609606557717,0.5458397684798152,1.0,0,BTC,2024-08-21 20:00:00
27.424795763834602,1.530556419078908,43.49920909199862,-307.01283075064975,1.2041579676149428,1.2981538607494154,1.0,0,BTC,2024-08-27 12:00:00
20.6326787174365,2.163394295801738,40.33972249949002,-328.2581608688269,1.2836722077229485,-2.2785622014031786,-1.0,0,BTC,2024-09-16 16:00:00
26.03711245739856,1.7585997186257336,62.061216541974616,196.96017711243599,1.353937059761631,2.3764352386066276,1.0,1,BTC,2024-10-11 20:00:00
39.832997843711134,1.7356825572008794,44.565738512818164,-237.35287570676826,1.077404447465337,6.010417028520986,1.0,0,BTC,2024-10-22 04:00:00
38.434864168048875,0.7147787798222275,44.53168172048716,-234.18479017970338,1.0542214463135406,5.954993906523566,1.0,0,BTC,2024-10-22 08:00:00
37.88150346939976,1.605526462720855,43.26528422612935,-229.48460052962378,1.0637695808929197,5.738466863701957,1.0,0,BTC,2024-10-22 12:00:00
36.91782152094141,2.4260624141491314,43.09458834840752,-217.618806611953,1.105325280009619,5.668644523196057,1.0,0,BTC,2024-10-22 16:00:00
36.022973997372944,1.0001425188966124,46.395402724965706,-187.74356148039442,1.1003952304684492,5.932322288614134,1.0,0,BTC,2024-10-22 20:00:00
34.71807058167388,0.5985955285940616,45.53635474509701,-164.3366650502052,1.0818831575070802,5.788279649813568,1.0,0,BTC,2024-10-23 00:00:00
