ts,comp_score,is_bullish,atr_pct,rsi,macd_hist_norm,vol_ratio,label
2025-12-29 08:00:00,5.37,1,0.5481230986742963,46.82230843190832,1.3172084741950207,2.621102939317758,1
2025-12-30 16:00:00,4.81,1,0.9474255060598158,52.128905918681085,0.44899930125586535,1.516724643183804,1
2025-12-30 16:00:00,4.63,1,1.3258067431632843,52.97108093451416,0.7765245452092239,1.1787325321246735,0
2025-12-30 20:00:00,5.37,1,1.4049643948860082,53.39449380101533,0.7241926577042731,0.47783498057634527,0
2025-12-31 16:00:00,5.37,1,1.276465822517016,51.296956603201274,0.5013234988482757,0.7294063823273412,0
2026-01-02 12:00:00,5.0,1,0.8692762541607906,74.51042521335319,2.817349572019447,2.4810922400235187,0
2026-01-02 12:00:00,4.81,1,1.568903262964357,65.93725836557914,2.6822115506963464,1.4829741424450962,0
2026-01-02 12:00:00,5.0,1,0.8035399036435474,67.2646579381026,0.7086530221963806,1.8087266765222103,0
2026-01-02 12:00:00,4.63,0,1.0857262004050998,64.80622234904322,3.1204284567896385,2.3722560424509798,0
2026-01-02 12:00:00,6.11,1,0.6653086590305126,61.57099272514729,1.6399225938386244,2.3419741168167447,0
2026-01-02 16:00:00,4.81,1,1.6013501047307925,73.01407355413365,4.089838970291254,1.6931469643832682,0
2026-01-02 16:00:00,5.74,1,0.9293932772140766,78.65165756717921,4.004936108170329,2.3497988250623365,0
2026-01-02 16:00:00,5.0,1,0.8351111724003651,68.96158408314827,1.3265472720681388,1.7834881215749103,0
2026-01-02 20:00:00,5.74,1,0.9001013171225924,69.4282532090993,1.655607518212972,0.4944102305398294,0
2026-01-02 20:00:00,6.11,1,1.1051208625957882,78.83491261230084,4.547018602734839,0.7253290966341543,0
2026-01-02 20:00:00,5.74,1,0.8116216955295239,65.9879318660791,2.119583090737573,0.7756418071828831,0
2026-01-02 20:00:00,4.81,1,1.7072881008174685,74.43846056356992,5.038767401364614,0.845429552151635,0
2026-01-04 04:00:00,5.0,1,1.202326796589029,72.48429435541117,1.6453749942569076,1.0761520596121201,0
2026-01-04 04:00:00,6.11,1,0.9138856980540776,72.60834626001181,2.0532060402680594,1.0392826901340613,1
2026-01-04 08:00:00,6.11,1,0.8753406434447926,67.95445152657713,0.7225162536900973,0.8136082614456068,0
2026-01-04 12:00:00,6.11,1,0.9399915457170233,69.37851900131194,1.739219492675645,0.7066073670880871,1
