ts,open,high,low,close,volume
2023-06-01 00:00:00,27201.1,27347.9,27008.1,27059.8,33639.569
2023-06-01 01:00:00,27059.8,27155.7,27045.7,27065.5,17636.075
2023-06-01 02:00:00,27065.5,27106.5,26621.3,26705.1,42682.679
2023-06-01 03:00:00,26705.0,26829.0,26600.0,26768.6,27103.266
2023-06-01 04:00:00,26768.6,26813.6,26742.0,26797.2,9880.984
2023-06-01 05:00:00,26797.1,26858.7,26771.8,26842.9,8112.848
2023-06-01 06:00:00,26843.0,26876.6,26762.0,26777.6,11210.559
2023-06-01 07:00:00,26777.6,26856.0,26753.1,26790.2,10103.295
2023-06-01 08:00:00,26790.1,26917.0,26776.7,26902.9,10031.13
2023-06-01 09:00:00,26902.9,26945.4,26885.6,26896.9,11279.054
2023-06-01 10:00:00,26896.9,26925.9,26845.0,26845.0,8257.03
2023-06-01 11:00:00,26845.0,26898.2,26830.6,26881.7,6696.208
2023-06-01 12:00:00,26881.6,26960.0,26773.2,26929.9,19662.691
2023-06-01 13:00:00,26929.8,26955.1,26855.0,26881.7,11831.226
2023-06-01 14:00:00,26881.8,26974.0,26817.6,26887.8,18027.068
2023-06-01 15:00:00,26887.9,26939.9,26844.2,26884.2,9506.636
2023-06-01 16:00:00,26884.2,27180.0,26780.0,27080.9,37865.362
2023-06-01 17:00:00,27080.8,27130.0,26908.0,26947.9,30525.759
2023-06-01 18:00:00,26947.9,27043.3,26929.1,26960.5,11107.724
2023-06-01 19:00:00,26960.4,26977.6,26635.0,26851.6,32300.897
2023-06-01 20:00:00,26851.6,26916.7,26812.5,26850.4,10327.055
2023-06-01 21:00:00,26850.5,26934.0,26849.0,26881.4,7588.041
2023-06-01 22:00:00,26881.4,26894.7,26834.3,26869.5,5921.792
2023-06-01 23:00:00,26869.5,26875.8,26697.1,26805.3,13490.624
2023-06-02 00:00:00,26805.3,26815.8,26477.6,26779.9,42771.218
2023-06-02 01:00:00,26780.0,26842.0,26703.1,26805.7,15043.775
2023-06-02 02:00:00,26805.6,26978.7,26800.2,26950.8,18602.016
2023-06-02 03:00:00,26950.8,27015.5,26917.2,26985.1,9039.966
2023-06-02 04:00:00,26985.2,27116.1,26937.3,27051.7,20075.976
2023-06-02 05:00:00,27051.8,27200.0,27048.3,27140.3,18534.424
2023-06-02 06:00:00,27140.2,27156.1,27055.4,27061.0,12561.95
2023-06-02 07:00:00,27061.0,27108.2,27033.0,27038.3,10460.263
2023-06-02 08:00:00,27038.3,27168.0,27038.3,27159.9,10050.855
2023-06-02 09:00:00,27159.9,27181.1,27054.9,27074.6,10895.817
2023-06-02 10:00:00,27074.5,27096.0,27051.1,27090.0,5695.203
2023-06-02 11:00:00,27090.0,27162.4,27057.0,27118.5,9551.025
2023-06-02 12:00:00,27118.5,27249.3,26978.0,27084.6,45720.244
2023-06-02 13:00:00,27084.6,27126.0,26840.5,26896.4,38723.403
2023-06-02 14:00:00,26896.4,26977.0,26875.0,26952.0,20518.727
2023-06-02 15:00:00,26952.0,27098.9,26949.5,27081.3,15579.665
2023-06-02 16:00:00,27081.3,27111.1,27017.7,27047.6,12471.296
2023-06-02 17:00:00,27047.5,27086.1,27009.0,27045.1,6761.855
2023-06-02 18:00:00,27045.1,27185.0,26985.1,27183.2,15366.31
2023-06-02 19:00:00,27183.2,27279.0,27114.8,27231.6,22673.073
2023-06-02 20:00:00,27231.5,27265.9,27159.3,27159.3,9943.052
2023-06-02 21:00:00,27159.4,27235.8,27132.0,27190.0,7451.957
2023-06-02 22:00:00,27189.9,27290.0,27181.3,27253.6,7455.346
2023-06-02 23:00:00,27253.7,27261.9,27214.9,27227.8,5162.677
2023-06-03 00:00:00,27227.8,27230.4,27139.3,27156.9,8627.357
2023-06-03 01:00:00,27156.9,27176.7,27077.0,27123.0,9085.166
2023-06-03 02:00:00,27122.9,27162.9,27118.0,27138.5,4165.362
2023-06-03 03:00:00,27138.5,27164.0,27118.0,27130.9,3180.738
2023-06-03 04:00:00,27130.9,27157.9,27098.0,27151.1,5231.42
