ts,open,high,low,close,volume,rsi_14,rsi_21,macd_line,macd_signal,macd_hist,stoch_k,stoch_d,atr_14,atr_pct,bb_width,bb_pct_b,adx_14,dist_ema20_pct,dist_ema50_pct,dist_ema200_pct,vol_sma_20,vol_ratio,obv,obv_roc,body_size,upper_wick,lower_wick,hour,dayofweek,is_london,is_ny,is_asia,ret_1,vol_ratio_lag_1,ret_2,vol_ratio_lag_2,ret_3,vol_ratio_lag_3,target
2023-07-05 04:00:00,13.129,13.154,13.029,13.103,842264.0,49.823168886837955,51.00006695527201,0.04349656079219777,0.06809166876924336,-0.02459510797704559,25.835866261398188,25.319410212417576,0.24466303770187306,1.867229166617363,4.912842534818741,0.4339604468580863,13.567343302713832,-0.22169834380380712,0.5841274220488193,0.8062355652236308,1565045.7,0.5381721441105521,3366224.0,-61.35059543218778,0.19803488460659457,0.19041815827557587,0.5636377484956954,4,2,0,0,1,-0.19043266301036477,0.7069855329732841,0.5139613378337016,0.5210407430080524,0.12225873003743892,1.6991578505759326,0.0
2023-07-05 08:00:00,13.102,13.126,12.436,12.643,3122740.0,36.642504858747174,42.12662032623176,-0.0005259272660307346,0.05436814956218854,-0.05489407682821928,20.3940886699508,25.28840443000389,0.2764728207231678,2.186765963166715,5.325639663990657,-0.2110389599008595,15.478615899075777,-3.381837612196591,-2.8347320996330474,-2.7062596025410857,1647045.9,1.895964162261659,243484.0,-96.28439790166848,3.503281941688289,0.18317814074186484,1.5799114638986471,8,2,1,0,1,-3.510646416851093,0.5381721441105521,-3.6943936624009743,0.7069855329732841,-3.014728444308057,0.5210407430080524,0.0
2023-07-05 12:00:00,12.642,12.744,12.467,12.558,2518032.0,34.80995747109891,40.7509642283808,-0.04179111389551515,0.03513629687064781,-0.07692741076616297,12.487205731832123,19.572386887727035,0.2765104763857986,2.2018671475218876,6.391167477028595,-0.17524843820686073,17.253369024269013,-3.661524394190533,-3.3557892680645596,-3.3280501973864096,1727182.85,1.4578838598356856,-2274548.0,-158.17433876521082,0.6644518272425219,0.8068343616516399,0.7198228128460632,12,2,1,0,0,-0.6723087874713318,1.895964162261659,-4.15935281996489,0.5381721441105521,-4.341864716636201,0.7069855329732841,1.0
2023-07-05 16:00:00,12.558,12.707,12.507,12.594,1284960.0,36.263823290671105,41.59906206464945,-0.07077334143832559,0.013954369208853129,-0.08472771064717871,16.171954964175992,16.351083121986306,0.27104544235824163,2.1521791516455586,7.279091069757217,-0.034724468469908024,18.9013540690913,-3.0728439359982427,-2.961580232173017,-3.021480684184851,1733519.45,0.741243485903778,-989588.0,-131.80052065307544,0.2866698518872399,0.8998248128683016,0.4061156235069291,16,2,1,1,0,0.2866698518872335,1.4578838598356856,-0.3875662421893633,1.895964162261659,-3.8846065786461104,0.5381721441105521,1.0
2023-07-05 20:00:00,12.596,12.723,12.554,12.658,825240.0,38.87377685839215,43.11890731673232,-0.08756826795832495,-0.006350158224582488,-0.08121810973374247,22.72262026612072,17.127260320709613,0.26375648218979586,2.0837137161462778,7.854181400044174,0.08296412799644662,20.312121812630178,-2.3402909811551242,-2.373947844919445,-2.50412599564828,1669689.3,0.49424764236076735,-164348.0,-103.90515548577066,0.4922197523023133,0.5160368370911502,0.33343918704350445,20,2,0,1,0,0.5081784976973092,0.741243485903778,0.7963051441312263,1.4578838598356856,0.11864272720081281,1.895964162261659,1.0
2023-07-06 00:00:00,12.659,12.716,12.533,12.612,1252351.0,37.67947486980611,42.28835405577728,-0.10339827286193248,-0.025759781152052488,-0.07763849170987999,18.014329580348015,18.969634936881576,0.2579881620333819,2.045576927001125,8.468080883526213,0.08849717614961722,21.694743234152362,-2.4447831201036383,-2.6245268682768343,-2.830795404102239,1660735.5,0.7540941950117884,-1416699.0,-142.08570196160446,0.37127735208152773,0.4502725333754531,0.6240619322221393,0,3,0,0,1,-0.36340654131773453,0.49424764236076735,0.14292520247738416,0.741243485903778,0.43000477783086133,1.4578838598356856,1.0
2023-07-06 04:00:00,12.612,12.895,12.584,12.835,1405300.0,46.293668351473386,47.44157122358507,-0.09683319667117729,-0.03997446425587745,-0.05685873241529984,40.83930399181175,27.19208461276016,0.26177472188814027,2.039538152615039,8.606917548701848,0.3058692386306489,21.661292684046817,-0.6517427707422079,-0.8676795518740599,-1.101741437033737,1647037.75,0.8532287739002946,-11399.0,-104.6816217903435,1.7681573104979444,0.4757373929590764,0.2220107833809108,4,3,0,0,1,1.768157310497953,0.7540941950117884,1.3983251698530763,0.49424764236076735,1.9136096553914683,0.741243485903778,0.0
2023-07-06 08:00:00,12.836,13.114,12.77,12.858,2450508.0,47.10574989221457,47.94494451683296,-0.08875134841150967,-0.0497298410870039,-0.039021507324505766,43.1934493346981,34.01569430228596,0.26764795603898744,2.081567553577442,8.374033536035148,0.34557761963277256,20.347006233755057,-0.42879108206472477,-0.6631560862221886,-0.9154032467507509,1660909.85,1.4754009677286217,2439109.0,-207.23488798653622,0.1713929573075743,1.994390775942663,0.514178871922723,8,3,1,0,1,0.17919750681729685,0.8532287739002946,1.9505233111322573,0.7540941950117884,1.580028440511927,0.49424764236076735,0.0
2023-07-06 12:00:00,12.857,12.88,12.223,12.645,4005705.0,40.932932131415896,43.86024670130461,-0.09839945762787927,-0.059463764395178975,-0.0389356932327003,35.4621848739495,39.83164606681978,0.2954588163219169,2.336566360790169,8.572698896291392,0.18586681692000417,21.095994766419828,-1.8840451855546534,-2.2201985880989894,-2.5319987169503415,1776618.7,2.2546790709790456,-1566596.0,58.307901874315384,1.64890721008011,0.17889087656530656,3.2822586917632326,12,3,1,0,0,-1.6565562295847047,1.4754009677286217,-1.4803272302298498,0.8532287739002946,0.2616555661274944,0.7540941950117884,0.0
2023-07-06 16:00:00,12.645,12.743,12.49,12.636,1788081.0,40.69030016575042,43.69508781931964,-0.10555510493269615,-0.06868203250268241,-0.03687307243001374,34.70588235294106,37.78717218719622,0.29242604372749426,2.314229532506286,8.738816468144178,0.2096172870385629,21.79148411817997,-1.7710906392304513,-2.2019742388337757,-2.576153490691585,1801368.5,0.9926236636201865,-3354677.0,1941.2034220069606,0.07117437722420199,0.775009885330176,1.154606563859225,16,3,1,1,0,-0.0711743772242035,2.2546790709790456,-1.7265515632291284,1.4754009677286217,-1.5504479937670568,0.8532287739002946,0.0
2023-07-06 20:00:00,12.636,12.667,12.343,12.349,1609262.0,33.80819616188161,38.802693793615845,-0.13285306102697803,-0.08151623820754154,-0.05133682281943648,10.588235294117604,26.918767507002723,0.29468132631838756,2.386276834710402,9.395432678850568,0.030831977778186675,22.840357952098966,-3.634849567142142,-4.25717319904006,-4.743539299421221,1780773.35,0.9036871536739922,-4963939.0,250.38769703373828,2.271288382399486,0.24533080088636108,0.04748338081671595,20,3,0,1,0,-2.2712883823994834,0.9926236636201865,-2.340846184262546,2.2546790709790456,-3.9586249805568574,1.4754009677286217,0.0
2023-07-07 00:00:00,12.348,12.613,12.18,12.587,1589857.0,42.49422978627749,44.238997864623364,-0.13374059858201903,-0.09196111028243704,-0.04177948829958199,41.78644763860369,29.026855095220782,0.30456123158135984,2.4196490949500262,9.233231258287962,0.25189881979296225,24.21711595236886,-1.6110519455678183,-2.319547458780663,-2.8795800899814243,1758868.8,0.9039088077518914,-3374082.0,29499.807000614088,1.9355361192095804,0.21056041464204567,1.360544217687083,0,4,0,0,1,1.927281561260008,0.9036871536739922,-0.38778094333649094,0.9926236636201865,-0.458679319889288,2.2546790709790456,0.0
2023-07-07 04:00:00,12.587,12.612,12.451,12.509,1178323.0,40.61323661010613,42.926777812930716,-0.13913407559999058,-0.10139570334594775,-0.037738372254042835,33.77823408624236,28.717639006321217,0.2943068578969769,2.3527608753455667,9.20205248579968,0.21561333425649032,25.495534095476618,-2.0135135180250114,-2.8133870584736185,-3.447976078147698,1762631.25,0.6685022746533059,-4552405.0,-286.64213038449697,0.6196869786287392,0.19861762135536948,0.4607928815444493,4,4,0,0,1,-0.6196869786287418,0.9039088077518914,1.2956514697546329,0.9036871536739922,-1.0050648939537776,0.9926236636201865,1.0
2023-07-07 08:00:00,12.508,12.661,12.478,12.595,1296659.0,43.57867607258157,44.821579663496124,-0.13491376186079584,-0.10809931504891737,-0.026814446811878473,42.60780287474341,39.39082819986315,0.28635636804719283,2.2735717987073665,8.688233868630753,0.3081913983511817,26.377893605727134,-1.213795482867586,-2.0628331860718534,-2.7572366889110596,1707331.6,0.7594652380357746,-3255746.0,107.82294860959686,0.6955548448992767,0.5276622961304681,0.23984649824112056,8,4,1,0,1,0.6875049964025992,0.6685022746533059,0.06355763883372223,0.9039088077518914,1.9920641347477508,0.9036871536739922,1.0
2023-07-07 12:00:00,12.594,12.749,12.536,12.692,1995624.0,46.805141601524966,46.909023055995455,-0.12233187774192977,-0.11094582758751986,-0.01138605015440991,54.122621564482095,43.50288617515596,0.2811166274723934,2.214911971890903,8.29150437798443,0.41358105379380433,26.656900862569533,-0.41003097099473257,-1.2579020663479898,-1.9887386647244643,1753603.15,1.1380134667299155,-1260122.0,-62.4368605382873,0.7781483245990214,0.45259647451167523,0.46053676353819145,12,4,1,0,0,0.7701468836839975,0.7594652380357746,1.4629466783915523,0.6685022746533059,0.8341940096925349,0.9039088077518914,0.0
2023-07-07 16:00:00,12.692,12.731,12.558,12.664,1238709.0,45.98762659453572,46.37725035785536,-0.11331379898507699,-0.1114194218670313,-0.001894377118045687,51.82012847965733,49.516850972960945,0.2733940112243653,2.158828262984565,7.53198264066451,0.4075518751657801,26.915979029637473,-0.5701046960968603,-1.4186873296029126,-2.1835018205573644,1754901.05,0.7058568914754482,-2498831.0,-49.66032016106564,0.2206114087614282,0.30728017648912465,0.8351717617396776,16,4,1,1,0,-0.2206114087614286,1.1380134667299155,0.5478364430329341,0.7594652380357746,1.239107842353504,0.6685022746533059,1.0
2023-07-07 20:00:00,12.666,12.739,12.592,12.729,874307.0,48.24744715859081,47.819118944634994,-0.09977184213586021,-0.10908990592079709,0.00931806378493688,58.77944325481786,54.90739776631909,0.2643658675654821,2.0768785259288403,6.574413107190854,0.5037052387544245,27.103019258618662,-0.05407608150242237,-0.8772247213618282,-1.6649908305749745,1690785.2,0.5171011669607707,-1624524.0,-51.85285953334863,0.4973945997157653,0.078951523764421,0.5842412758566228,20,4,0,1,0,0.5132659507264714,0.7058568914754482,0.2915222187204414,1.1380134667299155,1.0639142516871702,0.7594652380357746,1.0
2023-07-08 00:00:00,12.73,13.358,12.717,13.333,2968786.0,63.520797049681214,58.66386423865708,-0.03984270965130854,-0.09524046666689939,0.055397757015590854,97.87775891341253,69.49244354929591,0.2912683055965191,2.184566906146547,7.398186207692141,1.131157341831638,26.055466824314312,4.22305464698599,3.670665036987529,2.970326075873068,1707067.8,1.7391142870833836,1344262.0,-129.52861179969707,4.736842105263156,0.19638648860958643,0.10212097407698272,0,5,0,0,1,4.745070311886246,0.5171011669607707,5.282691092861658,0.7058568914754482,5.050425464859765,1.1380134667299155,1.0
2023-07-08 04:00:00,13.333,13.8,13.266,13.457,7795990.0,65.75522459043108,60.436332774744166,0.01745610024002353,-0.07270115328551482,0.09015725352553836,78.82716049382718,78.4947875540192,0.3086062837681964,2.2932769842327145,8.668841123848617,1.1308319115704644,26.33029442646586,4.6747264685121985,4.444989311720014,3.887370378441176,2056966.25,3.790042738912221,9140252.0,-380.7421709187388,0.9300232505812687,2.5725643141078525,0.5025125628140716,4,5,0,0,1,0.9300232505812689,1.7391142870833836,5.719223819624486,0.5171011669607707,6.26184459886292,0.7058568914754482,1.0
