ts,open,high,low,close,volume
2025-06-01 00:00:00,2527.08,2529.67,2488.52,2512.14,597182.554
2025-06-01 04:00:00,2512.13,2526.46,2504.58,2507.62,260989.816
2025-06-01 08:00:00,2507.62,2509.7,2476.01,2496.32,578632.561
2025-06-01 12:00:00,2496.32,2524.47,2465.0,2522.0,730401.961
2025-06-01 16:00:00,2522.0,2547.0,2491.56,2525.11,884380.111
2025-06-01 20:00:00,2525.1,2546.35,2518.19,2537.89,433284.726
2025-06-02 00:00:00,2537.89,2540.89,2484.05,2495.12,661312.367
2025-06-02 04:00:00,2495.11,2512.74,2482.0,2505.78,579570.941
2025-06-02 08:00:00,2505.79,2515.0,2472.74,2480.03,763797.294
2025-06-02 12:00:00,2480.02,2556.34,2477.0,2543.24,1458642.261
2025-06-02 16:00:00,2543.25,2565.4,2522.88,2531.21,837300.82
2025-06-02 20:00:00,2531.22,2614.2,2530.7,2606.48,974822.701
2025-06-03 00:00:00,2606.49,2649.0,2588.05,2602.38,1386420.609
2025-06-03 04:00:00,2602.38,2619.44,2588.88,2608.68,569501.463
2025-06-03 08:00:00,2608.69,2619.52,2593.47,2600.21,505288.9
2025-06-03 12:00:00,2600.21,2654.98,2596.36,2622.56,1348476.143
2025-06-03 16:00:00,2622.55,2627.77,2601.76,2624.16,648206.732
2025-06-03 20:00:00,2624.17,2624.46,2563.0,2592.16,734013.333
2025-06-04 00:00:00,2592.16,2639.84,2582.41,2626.78,649446.742
2025-06-04 04:00:00,2626.77,2644.17,2618.33,2626.31,578432.877
2025-06-04 08:00:00,2626.32,2649.38,2623.0,2623.71,662755.204
2025-06-04 12:00:00,2623.71,2679.64,2593.2,2666.91,1877192.48
2025-06-04 16:00:00,2666.92,2668.29,2620.73,2622.36,811795.325
2025-06-04 20:00:00,2622.36,2623.79,2596.95,2606.62,704964.905
2025-06-05 00:00:00,2606.62,2631.68,2600.11,2624.0,465813.604
2025-06-05 04:00:00,2624.01,2633.76,2600.0,2603.21,580779.233
2025-06-05 08:00:00,2603.22,2612.68,2579.14,2606.64,660454.477
2025-06-05 12:00:00,2606.63,2640.0,2560.01,2588.34,2165012.477
2025-06-05 16:00:00,2588.35,2590.7,2506.0,2528.08,1793921.269
2025-06-05 20:00:00,2528.08,2534.79,2390.0,2412.9,2826419.66
2025-06-06 00:00:00,2412.9,2455.83,2379.62,2454.51,1153684.026
2025-06-06 04:00:00,2454.5,2468.43,2445.49,2454.18,745714.121
2025-06-06 08:00:00,2454.19,2492.03,2452.71,2474.93,815093.429
2025-06-06 12:00:00,2474.93,2529.67,2465.66,2508.29,1649226.869
2025-06-06 16:00:00,2508.28,2517.39,2482.21,2483.04,681493.984
2025-06-06 20:00:00,2483.04,2506.44,2471.51,2475.38,373807.114
2025-06-07 00:00:00,2475.38,2492.79,2455.85,2487.99,562304.031
2025-06-07 04:00:00,2487.99,2501.15,2478.75,2490.21,436170.86
2025-06-07 08:00:00,2490.21,2500.88,2480.25,2494.22,295912.887
2025-06-07 12:00:00,2494.23,2522.91,2491.28,2518.5,616927.623
2025-06-07 16:00:00,2518.5,2524.9,2505.61,2515.78,397391.702
2025-06-07 20:00:00,2515.78,2545.0,2515.78,2523.4,384207.658
2025-06-08 00:00:00,2523.41,2525.0,2507.25,2510.66,304361.554
2025-06-08 04:00:00,2510.66,2519.03,2507.25,2513.45,195997.002
2025-06-08 08:00:00,2513.46,2520.19,2483.28,2512.29,585488.919
2025-06-08 12:00:00,2512.29,2527.26,2498.68,2513.39,475955.891
2025-06-08 16:00:00,2513.38,2539.68,2511.48,2531.53,417830.619
2025-06-08 20:00:00,2531.54,2548.02,2497.41,2508.32,653318.554
2025-06-09 00:00:00,2508.31,2510.64,2480.4,2495.55,592287.74
2025-06-09 04:00:00,2495.55,2495.74,2475.83,2490.67,395793.047
2025-06-09 08:00:00,2490.67,2546.98,2483.03,2540.74,1177500.484
2025-06-09 12:00:00,2540.75,2547.97,2507.98,2532.98,970683.284
2025-06-09 16:00:00,2532.98,2589.33,2532.66,2579.45,1032215.72
2025-06-09 20:00:00,2579.46,2693.2,2574.54,2679.12,1404063.031
2025-06-10 00:00:00,2679.13,2726.83,2674.44,2688.26,1363440.805
