symbol,entry_time,entry_price,tp_price,sl_price,position_size,risk_usd,win_prob,exit_price,exit_time,pnl_usd,net_pnl_pct,status,balance_after
XRP_USDT,2026-02-27 08:00:00,1.3817,1.4651959742808824,1.3316024154314703,5516.034403255273,200.0,0.51193434,1.3316024154314703,2026-02-28 04:00:00,-207.17084472423187,-0.03755793194508913,LOSS,9792.829155275767
XRP_USDT,2026-02-28 04:00:00,1.3018,1.3847105056276252,1.252053696623425,5125.327563672208,195.85658310551534,0.62727535,1.3847105056276252,2026-02-28 20:00:00,319.7647126764187,0.06238912707606786,WIN,10112.593867952186
XRP_USDT,2026-03-01 12:00:00,1.3779,1.4736532776097488,1.3204480334341506,4850.710575652977,202.25187735904373,0.46633887,1.416,2026-03-05 12:00:00,127.81997285690446,0.02635077291530592,TIME_EXIT,10240.413840809091
XRP_USDT,2026-03-05 16:00:00,1.4107,1.50181821725283,1.356029069648302,5284.765308472815,204.80827681618183,0.50420874,1.356029069648302,2026-03-06 12:00:00,-211.67847171719652,-0.040054469661656,LOSS,10028.735369091895
BNB_USDT,2026-03-09 00:00:00,623.34,645.9370620758808,609.7817627544716,9221.422802630877,200.57470738183792,0.44843298,645.9370620758808,2026-03-10 00:00:00,322.3033293263114,0.03495158352725765,WIN,10351.038698418206
XRP_USDT,2026-03-06 12:00:00,1.3551,1.43645651391246,1.3062860916525239,5568.060316710569,200.57470738183792,0.5768994,1.43645651391246,2026-03-10 12:00:00,327.0527005580058,0.058737276889130045,WIN,10678.091398976212
XRP_USDT,2026-03-10 12:00:00,1.4304,1.4988723545233495,1.38931658728599,7435.576028418405,213.56182797952425,0.6364187,1.38931658728599,2026-03-10 16:00:00,-223.2280768164682,-0.030021625219525894,LOSS,10454.863322159745
XRP_USDT,2026-03-10 16:00:00,1.3843,1.4581493292002534,1.3399904024798481,6532.52031471673,209.0972664431949,0.5928888,1.3893,2026-03-14 16:00:00,15.102754706654535,0.0023119338293721686,TIME_EXIT,10469.9660768664
BNB_USDT,2026-03-13 20:00:00,655.75,679.2044466698623,641.6773319980826,9743.392827248079,209.0972664431949,0.4589405,679.2044466698623,2026-03-15 20:00:00,335.829033396569,0.034467360533529924,WIN,10805.795110262969
XRP_USDT,2026-03-14 16:00:00,1.3893,1.4415083744251935,1.357974975344884,9287.094922183791,209.399321537328,0.68880326,1.4415083744251935,2026-03-15 20:00:00,336.9256458300426,0.036278906229895304,WIN,11142.720756093011
XRP_USDT,2026-03-15 20:00:00,1.4482,1.502967562201154,1.4153394626793074,9821.439035820265,222.85441512186023,0.65132517,1.502967562201154,2026-03-16 12:00:00,358.6561544565335,0.03651767863634449,WIN,11501.376910549545
ETH_USDT,2026-03-16 04:00:00,2248.43,2355.619709265933,2184.11617444044,7791.0550061807335,222.85441512186023,0.5234997,2355.619709265933,2026-03-16 20:00:00,361.2956536950654,0.04637313603978478,WIN,11862.67256424461
BNB_USDT,2026-03-16 04:00:00,678.48,700.0375463441659,665.5454721935005,11689.817041168,222.85441512186023,0.47048646,665.5454721935005,2026-03-17 12:00:00,-238.05117727537862,-0.020363978019248236,LOSS,11624.621386969233
ETH_USDT,2026-03-18 00:00:00,2339.6,2453.8434425969513,2271.053934441829,7935.383008634612,232.49242773938465,0.50241184,2271.053934441829,2026-03-18 08:00:00,-242.80842565060965,-0.030598198648560008,LOSS,11381.812961318623
SOL_USDT,2026-03-16 12:00:00,93.14,97.83154984040627,90.32507009575625,7611.118442655348,230.0275382109909,0.44422442,90.32507009575625,2026-03-18 12:00:00,-239.92199218644285,-0.03152256714884855,LOSS,11141.89096913218
BNB_USDT,2026-03-17 12:00:00,668.35,691.2256603870408,654.6246037677756,11321.08038635728,232.49242773938465,0.50192106,654.6246037677756,2026-03-18 12:00:00,-247.2098322416491,-0.021836240341474373,LOSS,10894.681136890531
