ts,open,high,low,close,volume,slope_10,slope_10_pct,accel_10,body,wick_upper,wick_lower,range,body_pct,is_pinbar_bull,is_pinbar_bear,swing_high_20,swing_low_20,dist_sh_pct,dist_sl_pct,fvg_bull,fvg_bear,fvg_bull_size,fvg_bear_size,liq_sweep_bull,liq_sweep_bear,signed_volume,cvd_10,cvd_10_norm,div_bear,div_bull,atr_14_pct,rsi_14,bb_width,is_squeeze,target
2025-06-01 18:00:00,2.1708,2.171,2.1441,2.1563,21761584.9,0.003885454545454512,0.1801908150746423,0.005305454545454475,0.014499999999999957,0.00019999999999997797,0.012199999999999989,0.026899999999999924,0.5390334372106529,False,False,2.1879,2.1217,1.4654732643880757,1.6046004730324976,0,0,0.0,0.0,0,0,-21761584.9,14208456.000000007,0.07755684071859535,0,0,0.7542176491234935,48.8509986780875,2.5187296776183987,0,1.0
2025-06-01 19:00:00,2.1563,2.1671,2.1535,2.1665,9560898.6,0.0039060606060606104,0.1802935890173372,0.002888484848484856,0.010200000000000209,0.0005999999999999339,0.0027999999999996916,0.013599999999999834,0.7499999448529697,False,False,2.1777,2.1217,0.5169628432956427,2.0678513731825503,0,0,0.0,0.0,0,0,9560898.6,53586446.20000001,0.32886346394811616,0,0,0.7418863116436927,54.68558636828612,2.4506895839562457,0,0.0
2025-06-01 20:00:00,2.1664,2.1686,2.1539,2.1542,9115554.6,0.0034139393939394257,0.15847829328471943,0.00012545454545457614,0.012199999999999989,0.002200000000000202,0.0002999999999997449,0.014699999999999935,0.829931916331165,False,False,2.1777,2.1217,1.090892210565421,1.5086807167393812,0,0,0.0,0.0,0,0,-9115554.6,25234670.800000004,0.16512276600378753,0,0,0.7415698576962206,47.62985701445167,2.34811327643215,0,1.0
2025-06-01 21:00:00,2.1542,2.175,2.1524,2.1713,12393303.3,0.0036472727272727104,0.16797645315123247,-0.00023818181818180146,0.017100000000000115,0.0036999999999998145,0.0017999999999998018,0.02259999999999973,0.7566371346620878,False,False,2.1758,2.1217,0.20724911343435592,2.2843457836319194,0,0,0.0,0.0,0,0,12393303.3,51903587.60000001,0.34386585602632713,0,0,0.757524038819389,56.10848032178403,2.4403730414480536,0,0.0
2025-06-01 22:00:00,2.1712,2.1799,2.1681,2.1716,12721225.0,0.002895151515151593,0.13331882092243474,-0.0010109090909090172,0.00040000000000040004,0.008299999999999752,0.0030999999999998806,0.011800000000000033,0.0338983022120421,False,False,2.1799,2.1217,0.3822066678946284,2.2978449069810303,0,0,0.0,0.0,0,1,12721225.0,83266570.4,0.5741696503951107,0,0,0.7421307295263209,56.24232639463729,2.530492241419797,0,0.0
2025-06-01 23:00:00,2.1716,2.1871,2.1715,2.178,13341711.3,0.00254727272727269,0.11695467067367725,-0.0008666666666667356,0.006399999999999739,0.009100000000000108,0.00010000000000021103,0.015600000000000058,0.41025638395790587,False,False,2.1871,2.1217,0.4178145087236046,2.58494031221303,0,0,0.0,0.0,0,1,13341711.3,82885103.50000001,0.5730465801732804,0,0,0.7382573855146157,59.10726041595926,2.678644880745766,0,0.0
2025-06-02 00:00:00,2.178,2.1805,2.1661,2.1699,16464375.8,0.0016890909090908912,0.07784187792483023,-0.001958181818181819,0.008099999999999774,0.0024999999999999467,0.0038000000000000256,0.014399999999999746,0.562499960937497,False,False,2.1871,2.1217,0.7926632563712559,2.221300520761326,0,0,0.0,0.0,0,0,-16464375.8,49657791.900000006,0.3440315154086087,0,0,0.7354854935204653,54.264776907248596,2.66363681562042,0,0.0
2025-06-02 01:00:00,2.17,2.1826,2.1631,2.1632,15728825.1,0.0005757575757575904,0.026616012192935943,-0.002319393939394003,0.006800000000000139,0.012599999999999945,9.999999999976694e-05,0.01949999999999985,0.3487179308349877,False,False,2.1871,2.1217,1.1048446745562248,1.9184541420118182,0,0,0.0,0.0,0,0,-15728825.1,22843059.10000001,0.15332585364908005,0,0,0.7494548301811714,50.573910525995245,2.6181842288628947,0,0.0
2025-06-02 02:00:00,2.1632,2.1704,2.156,2.1589,13545017.5,0.00018121212121215103,0.008393724638109733,-0.002366060606060539,0.0042999999999997485,0.007200000000000095,0.0028999999999999027,0.014399999999999746,0.2986110903742176,False,False,2.1871,2.1217,1.306220760572514,1.723099726712673,0,0,0.0,0.0,0,0,-13545017.5,-17545554.199999996,-0.12931078087760478,1,0,0.7449517595740821,48.30318618195931,2.608461797286561,0,0.0
2025-06-02 03:00:00,2.1589,2.161,2.1499,2.1568,11983595.6,-9.090909090930967e-06,-0.0004214998651210574,-0.0016981818181818222,0.0020999999999999908,0.0020999999999999908,0.006899999999999906,0.011099999999999888,0.1891891721451207,False,False,2.1871,2.1217,1.4048590504451035,1.6274109792284823,0,1,0.0,0.09736646884272954,0,0,-11983595.6,-40581815.3,-0.2970500385058227,0,0,0.7291752529765758,47.188858612383385,2.607179249483477,0,1.0
2025-06-02 04:00:00,2.1568,2.1734,2.1562,2.1688,11925262.4,-0.0003418181818182249,-0.01576070554307566,-0.0009175757575758152,0.01200000000000001,0.0045999999999999375,0.0005999999999999339,0.017199999999999882,0.6976743780421928,False,False,2.1871,2.1217,0.8437845813352999,2.171707856879377,0,0,0.0,0.0,0,0,11925262.4,-6894967.999999994,-0.05438539637284649,0,0,0.7299924715793596,53.754182982893326,2.6329189466959684,0,0.0
2025-06-02 05:00:00,2.1687,2.1749,2.1636,2.1684,11075588.9,-0.00016787878787878418,-0.007742058101770161,-0.0003490909090909352,0.0002999999999997449,0.006200000000000205,0.0047999999999999154,0.011299999999999866,0.02654867021690958,False,False,2.1871,2.1226,0.8623870134661473,2.112156428703204,1,0,0.11990407673861639,0.0,0,0,-11075588.9,-27531455.499999993,-0.2145958259405582,0,0,0.7151981625918085,53.51536197321822,2.4464075104790943,0,0.0
2025-06-02 06:00:00,2.1685,2.1725,2.1561,2.1661,16822705.2,-0.0009624242424242387,-0.04443120088750467,-0.0009533333333333077,0.0023999999999997357,0.0040000000000000036,0.010000000000000231,0.01639999999999997,0.14634145449135888,False,False,2.1871,2.1244,0.9694843266700479,1.925118877244821,0,0,0.0,0.0,0,0,-16822705.2,-35238606.099999994,-0.25910433026557234,0,0,0.7188978231097695,52.082499170700046,2.3383753071078783,0,0.0
2025-06-02 07:00:00,2.166,2.1786,2.1607,2.1624,13372999.6,-0.0009630303030303624,-0.04453525263736415,-0.0006212121212121376,0.0036000000000000476,0.012599999999999945,0.0017000000000000348,0.017900000000000027,0.2011173072001528,False,True,2.1871,2.1244,1.142249352571225,1.7573066962634023,0,0,0.0,0.0,0,0,-13372999.6,-61004909.0,-0.44535207469739824,0,0,0.7278176189912973,49.77370771913519,2.1804650704895523,0,0.0
2025-06-02 08:00:00,2.1624,2.1785,2.1604,2.1625,19267083.5,-0.0008303030303030115,-0.03839551585216238,-0.0006624242424242274,0.00010000000000021103,0.016000000000000014,0.0019999999999997797,0.018100000000000005,0.005524861573223725,False,False,2.1871,2.1286,1.137572254335258,1.56763005780347,0,0,0.0,0.0,0,0,19267083.5,-54459050.5,-0.37943375066276397,0,0,0.7355846953257855,49.838428981466585,1.7588253744749216,0,0.0
2025-06-02 09:00:00,2.1626,2.1629,2.1469,2.1519,23864305.0,-0.000738787878787815,-0.03433188711314722,0.00022363636363642375,0.010699999999999932,0.000300000000000189,0.004999999999999893,0.016000000000000014,0.6687499582031228,False,False,2.1871,2.1388,1.6357637436683916,0.608764347785683,0,0,0.0,0.0,0,0,-23864305.0,-91665066.8,-0.595035445904295,0,0,0.7395167309734968,43.447407522727055,1.5208222455236624,0,1.0
2025-06-02 10:00:00,2.1518,2.1578,2.141,2.1451,21125985.6,-0.001241818181818173,-0.057890922652471824,-0.0002787878787878105,0.006700000000000372,0.005999999999999783,0.0040999999999997705,0.016799999999999926,0.398809500070887,False,False,2.1871,2.141,1.9579506782900684,0.1911332804997329,0,1,0.0,0.12120647056082039,0,0,-21125985.6,-96326676.6,-0.6069299103844157,0,0,0.7448123861679532,39.91156869647826,1.5167477714064859,0,1.0
2025-06-02 11:00:00,2.145,2.1484,2.1344,2.1417,16940253.8,-0.002076363636363642,-0.09694932233102871,-0.0012460606060606303,0.0032999999999998586,0.0034000000000000696,0.007300000000000306,0.014000000000000234,0.23571426887753819,False,False,2.1871,2.1344,2.119811364803655,0.34085072605875266,0,0,0.0,0.0,1,0,-16940253.8,-97538105.30000001,-0.6099074495239679,0,0,0.7394013315322078,38.236024041915016,1.682274766306862,0,1.0
