ts,open,high,low,close,volume,slope_10,slope_10_pct,accel_10,body,wick_upper,wick_lower,range,body_pct,is_pinbar_bull,is_pinbar_bear,swing_high_20,swing_low_20,dist_sh_pct,dist_sl_pct,fvg_bull,fvg_bear,fvg_bull_size,fvg_bear_size,liq_sweep_bull,liq_sweep_bear,signed_volume,cvd_10,cvd_10_norm,div_bear,div_bull,atr_14_pct,rsi_14,bb_width,is_squeeze,target
2025-06-04 04:00:00,668.4,670.99,668.1,670.8,62039.9,0.4475151515151524,0.06671364810899709,-0.9323030303030299,2.3999999999999773,0.19000000000005457,0.2999999999999545,2.8899999999999864,0.8304498267022625,False,False,673.76,647.12,0.4412641621944002,3.530113297555151,1,0,0.46213476446034923,0.0,0,0,62039.9,282334.32999999996,0.3933540444884634,0,0,0.9530541311821736,64.92595230547249,3.6847554197145085,0,0.0
2025-06-04 08:00:00,670.81,671.83,667.5,667.86,52870.8,0.24951515151514644,0.03736039761554015,-0.7940606060606251,2.949999999999932,1.0200000000000955,0.36000000000001364,4.330000000000041,0.681293302383051,False,False,673.76,647.12,0.883418680561791,3.105441260144343,0,0,0.0,0.0,0,0,-52870.8,172469.43,0.24167633718521558,0,0,0.9351845816232905,59.640922782889966,3.7351186362869035,0,0.0
2025-06-04 12:00:00,667.86,670.5,665.13,669.42,79334.38,0.3815757575757578,0.057000949714044666,-0.20745454545455932,1.5599999999999454,1.080000000000041,2.730000000000018,5.3700000000000045,0.29050279324198164,False,False,673.76,647.12,0.6483224283708333,3.3312419706611625,0,0,0.0,0.0,0,0,79334.38,180091.16999999998,0.24968974077980932,0,0,0.9236610873035187,61.43477598027905,3.7180306904684177,0,0.0
2025-06-04 16:00:00,669.43,670.0,666.13,667.36,50955.78,0.4849696969696941,0.07266987787246675,0.03745454545454169,2.0699999999999363,0.57000000000005,1.2300000000000182,3.8700000000000045,0.5348837207920026,False,False,673.76,647.12,0.959002637257249,3.032845840326062,0,0,0.0,0.0,0,0,-50955.78,5266.789999999979,0.008123412684414907,0,0,0.9017539971802945,57.78245477617353,3.4004785989223705,0,0.0
2025-06-04 20:00:00,667.35,667.47,661.52,662.93,73279.08,0.18296969696969453,0.02760015340529084,-0.06654545454545191,4.420000000000073,0.12000000000000455,1.4099999999999682,5.9500000000000455,0.7428571427322994,False,False,673.76,649.61,1.6336566454980228,2.0092619130224816,0,0,0.0,0.0,0,0,-73279.08,-29434.510000000024,-0.04309286955664199,1,0,0.907047837226635,50.78965437193259,3.18749760334421,0,0.0
2025-06-05 00:00:00,662.93,666.43,662.64,665.59,40195.09,0.03054545454543779,0.004589229787923164,-0.35103030303032,2.660000000000082,0.8399999999999181,0.2899999999999636,3.7899999999999636,0.7018469655140529,False,False,673.76,649.61,1.227482384050235,2.4008774170285037,0,0,0.0,0.0,0,0,40195.09,78970.51999999997,0.1205595280924748,0,0,0.8795654870678093,54.3611676014045,2.974873468374498,0,0.0
2025-06-05 04:00:00,665.59,668.5,664.96,668.37,57022.43,0.1503030303030204,0.022487997711300684,-0.3346666666666737,2.7799999999999727,0.12999999999999545,0.6299999999999955,3.5399999999999636,0.7853107342414379,False,False,673.76,649.61,0.8064395469575214,2.8068285530469637,0,0,0.0,0.0,0,0,57022.43,28088.889999999978,0.046493100682528696,0,0,0.8511741681774873,57.807659836357054,3.0028587048729403,0,0.0
2025-06-05 08:00:00,668.37,670.74,661.94,662.1,118753.15,-0.21969696969696417,-0.033181841065845666,-0.40266666666665873,6.269999999999982,2.3700000000000045,0.15999999999996817,8.799999999999955,0.7124999999190357,False,False,673.76,649.61,1.7610632834919149,1.886421990635857,0,0,0.0,0.0,0,0,-118753.15,-46369.470000000016,-0.06833005666066141,0,0,0.8927967963624643,48.84790458977966,2.8415076307939504,0,0.0
2025-06-05 12:00:00,662.11,665.5,656.42,659.04,163991.28,-0.9612121212121234,-0.14585034614167933,-0.9917575757575612,3.07000000000005,3.3899999999999864,2.6200000000000045,9.080000000000041,0.3381057268350144,False,False,673.76,649.61,2.2335518329691717,1.4308691429958653,0,0,0.0,0.0,0,0,-163991.28,-143729.75,-0.18522580815353984,0,0,0.9312864020101363,45.16844164323392,2.8018067154231963,0,0.0
2025-06-05 16:00:00,659.04,659.04,640.5,644.04,194452.87,-2.0211515151515247,-0.31382391080546623,-2.1714545454545453,15.0,0.0,3.5399999999999636,18.539999999999964,0.809061488629502,False,False,673.76,640.5,4.614620209924854,0.5496553009129812,0,1,0.0,0.4502825911434214,0,0,-194452.87,-415711.16000000003,-0.46557688388718904,0,0,1.090528413824106,32.317588558670025,3.477089917539633,0,0.0
