st_trend,dist_to_st,atr_pct,rsi,adx,bb_width,vol_ratio,label
1.0,0.142181193783019,0.9435791317156272,42.87698066718022,24.876407459754404,4.30079291484109,0.6626881066544881,0
1.0,0.2541493482120914,0.962498978214248,43.84856134794991,23.73986931881416,3.682674687983128,1.102751521618026,0
1.0,0.03731013633957312,1.0338949358010048,42.347936630318365,22.228904194169868,3.9453426851542135,0.9107760178402616,0
-1.0,3.79690650190661,1.0623282080102194,35.96908474916812,21.591960057985624,4.592103435996123,1.431016722151798,0
-1.0,0.6424180942793472,0.912766200490645,59.07389947473194,18.838819788009072,2.1597413748160417,1.192309016039976,0
-1.0,0.30218710368722745,0.9132112113142821,61.020045392088825,18.67737670647083,2.777107770436666,1.3947366891807182,0
1.0,3.383117937883054,0.9579207935637589,67.72184461254534,19.80458970014435,3.7109198666201006,1.5267124124214464,0
1.0,0.6297671755880496,1.1579818399144586,45.67820735368013,17.80506931761825,4.008907047243021,1.3763206698185257,0
-1.0,4.3908737830082085,1.2222431040428023,39.3470576412264,18.02588775171186,4.202537502960599,2.2494317669551487,0
-1.0,0.5005954684240798,1.6213564373941916,52.467834085741686,35.53759419364362,5.647700110071323,2.127619652784422,0
1.0,6.01054473525054,1.7323677135017188,61.14646767129392,33.01916726686685,6.011550279663903,2.0795852778636577,0
1.0,1.0486791815160077,0.6991495710633611,53.146093742913294,19.470343643064954,1.679189082370089,2.2665590798242565,0
1.0,0.6780283033075373,0.6706814384003678,48.9328371703154,16.232167489645523,1.5268300314523136,1.1470000656311432,0
1.0,0.14400144025855321,0.6891366441746024,43.29626236345329,16.58229711131807,1.7048462633541075,1.2603110012378809,0
-1.0,2.734241976713012,0.7709426470267334,37.952266831287346,17.747086632198123,2.133645893153512,3.028764557799434,0
-1.0,0.6310079825370918,0.8063775060983978,55.050811385832965,19.88383275097532,3.168870448516687,1.3396928982981269,0
1.0,3.2896536656687743,0.8620144364092223,63.392703537751764,19.74542565136147,3.3977468634800343,1.8467796311125193,0
1.0,0.44637655336406784,0.8365260703405604,44.769608215195106,20.960569678848596,5.180761363394669,1.420574054360018,1
1.0,0.7024269041098055,0.6801937503554063,44.92835940555974,15.419754241452045,1.6029763829246872,1.7762575807329863,1
-1.0,4.9868498951735845,1.3088998241270124,47.80009894673676,47.79003874832892,5.118466797857645,2.4882858704143387,0
-1.0,1.6755816835383277,1.3203017480478643,57.662529472512816,27.955014736188467,3.517605038023799,1.069904824378261,0
-1.0,0.7913516166053476,1.32474890402893,63.22630902145549,28.399668688164887,3.6021210647852566,0.7761560132605996,0
-1.0,1.5376025645219287,1.3295577134917373,56.47212070536117,28.83674865041038,3.4913971578779117,1.0263622383093254,0
-1.0,0.9710275684955789,1.260291923617967,56.685250271243106,12.10100489367737,2.290834837809393,1.1695143274984308,1
-1.0,0.40510560201155793,1.214988497597435,60.09012659641798,12.190860936077963,2.6509079452426763,0.7320467889420936,1
-1.0,1.53960700924727,1.2371145579181178,51.4137348192766,11.42668356326115,2.658831723719621,0.7656693432386978,0
-1.0,0.608910468527102,0.7080006656867934,58.55039209443337,12.527159740000121,3.7656792668060324,1.1246190353034935,1
-1.0,0.22510459765067245,0.7229417213343718,61.55112942954759,13.16334006525499,3.844833697624962,0.5734108140430528,1
-1.0,0.33227979896369725,0.7217192187074464,60.2361234940727,13.791859093447938,3.919623788105895,0.629341353005636,1
-1.0,0.6596803140116405,0.7296113662706779,56.296423118016676,14.036587427397862,3.996301130655909,0.8012307549644324,1
