ts,open,high,low,close,volume,rsi_14,rsi_21,macd_line,macd_signal,macd_hist,stoch_k,atr_14,atr_pct,bb_width,bb_pct_b,is_squeeze,dist_ema20_pct,dist_ema50_pct,dist_ema200_pct,vol_climax,vol_ratio,hour,dayofweek,is_london,is_ny,is_asia,target
2025-06-09 06:00:00,0.28418,0.28476,0.28308,0.28312,10742438.0,48.5579096263559,50.85777674909257,-3.382183286487761e-05,-5.391313930936132e-05,2.009130644448371e-05,44.19134396355342,0.0013670089742314191,0.48283730369857986,1.9294083087800344,0.4266034904122819,0,-0.10784581710254863,0.23713270435144607,2.5848285432397105,0,0.7799138373953094,6,0,0,0,1,0.0
2025-06-09 07:00:00,0.28311,0.28381,0.28261,0.28333,13368820.0,49.809415885072916,51.6040604630334,-3.267772135301383e-05,-4.9666055718091824e-05,1.698833436507799e-05,48.974943052392675,0.0013550797617863201,0.4782690720313133,1.812806010351977,0.4845260427622184,0,-0.030538790279054845,0.2992305544462035,2.633745155666176,0,0.9598396974182681,7,0,0,0,0,0.0
2025-06-09 08:00:00,0.28334,0.28441,0.28308,0.28314,10168089.0,48.65604181510819,50.870162147620604,-4.6565637161710693e-05,-4.90459720068156e-05,2.4803348451049074e-06,44.64692482915752,0.0013532883502301544,0.47795731801587704,1.6831068255812012,0.4682263280242382,0,-0.08829299316197545,0.22285313277059768,2.5387498489762192,0,0.7254086356305628,8,0,1,0,0,0.0
2025-06-09 09:00:00,0.28313,0.28337,0.28128,0.28136,20020340.0,39.441680633853046,44.62698998534451,-0.00019891012234324323,-7.901880207410113e-05,-0.0001198913202691421,4.100227790433104,0.001405910610928003,0.499683896406029,1.7075528436566882,0.13625253840329307,0,-0.6486159542856194,-0.39130551510016787,1.8749249847928167,0,1.3995151943595097,9,0,1,0,0,1.0
2025-06-09 10:00:00,0.28136,0.28268,0.28067,0.28186,23169683.0,42.722963569687735,46.56134854852581,-0.0002761155153220285,-0.0001184381447236866,-0.0001576773705983419,24.285714285714707,0.0014490598530045751,0.5141062417528472,1.4950703292659446,0.24998910110886222,0,-0.4272943017835049,-0.20590629460262455,2.0350914649039615,0,1.5958522465361875,10,0,1,0,0,1.0
2025-06-09 11:00:00,0.28185,0.28313,0.28162,0.28309,15514014.0,49.91276236647619,50.984171946599645,-0.00023533779739576266,-0.00014181807525810182,-9.351972213766084e-05,49.38775510204134,0.0014534127206471063,0.5134101242174242,1.3337882585637566,0.5713105418637285,1,0.006539484242773686,0.2205589423938736,2.4550730876183873,0,1.064327933209672,11,0,1,0,0,1.0
2025-06-09 12:00:00,0.28309,0.28368,0.28197,0.28215,14048877.0,45.23909761176786,47.80900986724707,-0.0002756932856598504,-0.00016859311733845154,-0.00010710016832139887,30.20408163265372,0.0014717403834580264,0.5216162975218949,1.2976245172813259,0.34150101723890264,1,-0.2946203916406233,-0.1078271330335149,2.093387126545744,0,0.9605564146100534,12,0,1,0,0,1.0
2025-06-09 13:00:00,0.28215,0.28354,0.28177,0.28251,15354599.0,47.2752930310329,49.08412009344424,-0.00027545108090193393,-0.00018996471005114802,-8.548637085078591e-05,37.55102040816332,0.0014930446417824527,0.5284926699169774,1.2471121776237035,0.4561719957428722,1,-0.15148545317509204,0.01885716380596655,2.2010369540237154,0,1.0372164732554072,13,0,0,1,0,1.0
2025-06-09 14:00:00,0.28252,0.28259,0.28182,0.28249,10321656.0,47.17035565775845,49.014266059561336,-0.0002737177172779659,-0.0002067153114965116,-6.700240578145429e-05,37.14285714285792,0.0014413985959408485,0.5102476533473215,1.2425721044365037,0.44747232984009233,1,-0.14347539689464595,0.011314560241973151,2.171498851747972,0,0.6992643677954095,14,0,0,1,0,1.0
2025-06-09 15:00:00,0.28249,0.28394,0.28246,0.28359,13231664.0,53.30905041610387,52.88638671868395,-0.0001814910908799483,-0.00020167046737319897,2.0179376493250663e-05,59.591836734694375,0.0014441558390879334,0.5092407486469669,1.271565128876814,0.7460509069082295,1,0.22194072936677678,0.3849766298696521,2.543133030619896,0,0.8933061485195964,15,0,0,1,0,1.0
2025-06-09 16:00:00,0.2836,0.28411,0.28226,0.28283,15636477.0,49.0668415642982,50.12477360198852,-0.000167792268592315,-0.00019489482761702218,2.710255902470718e-05,44.08163265306212,0.0014731447077245068,0.5208587164461007,1.2716715037085289,0.5315696499481216,1,-0.042205923235047085,0.1114001785073367,2.245247939371316,0,1.0484622894786342,16,0,0,1,0,1.0
2025-06-09 17:00:00,0.28283,0.28531,0.28269,0.28509,20828683.0,59.41069284086776,57.1166229896528,2.5137489822135706e-05,-0.00015088836412919062,0.00017602585395132633,90.2040816326535,0.0015550629428870428,0.5454638685632758,1.4268869431223614,1.0470212420694687,0,0.6839807456888825,0.8753046008739089,3.0308618281281587,0,1.3838754688139683,17,0,0,1,0,1.0
2025-06-09 18:00:00,0.2851,0.28637,0.28466,0.28588,25464611.0,62.293411359337945,59.21514743388135,0.00023902675935116857,-7.29053394331188e-05,0.0003119320987842874,91.40350877193005,0.0015661298755379675,0.5478277163627981,1.641674494853339,1.0997903323197662,0,0.8704707081325471,1.1090456620445952,3.2822842111056847,0,1.6955713698638402,18,0,0,0,0,1.0
2025-06-09 19:00:00,0.28588,0.28658,0.28492,0.28617,21274543.0,63.32317585195069,59.9701854826204,0.0004270137738329183,2.7078483220088618e-05,0.00039993529061282967,93.06260575296075,0.0015728348844281123,0.5496155727113647,1.818000658619191,1.0530223140643291,0,0.879333078818445,1.1635448157084733,3.352223155546198,0,1.404351944570776,19,0,0,0,0,1.0
