ts,open,high,low,close,volume,rsi_14,rsi_21,macd_line,macd_signal,macd_hist,stoch_k,atr_14,atr_pct,bb_width,bb_pct_b,is_squeeze,dist_ema20_pct,dist_ema50_pct,dist_ema200_pct,vol_climax,vol_ratio,hour,dayofweek,is_london,is_ny,is_asia,target
2025-06-09 06:00:00,2.2278,2.2367,2.221,2.2344,18196498.2,47.42527724152739,52.24303332101986,0.005546776483208227,0.013267398315766014,-0.007720621832557787,18.30601092896157,0.015144713364391632,0.6777977696201053,3.3410671448029237,0.16050533555870866,1,-0.4174007379752914,0.5229341535496899,1.7967013440510413,0,1.1067455220716242,6,0,0,0,1,1.0
2025-06-09 07:00:00,2.2343,2.2343,2.2234,2.2298,17394145.1,45.04065458498676,50.51566029248145,0.003908405179487318,0.011395599688510274,-0.0074871945090229566,12.021857923497167,0.014848662409792239,0.6659190245668777,3.4657470772138397,0.1209201282060364,1,-0.5634698080597492,0.3035565432408141,1.5710901633909018,0,1.044479241884903,7,0,0,0,0,1.0
2025-06-09 08:00:00,2.2298,2.2421,2.2284,2.2413,16743167.0,51.593609494318976,54.467577303456956,0.0034976196260929626,0.009816003676026813,-0.00631838404993385,27.732240437158172,0.014766615094807081,0.6588415247761157,3.5375824535750713,0.28347890827595607,1,-0.04581440549189985,0.7884189112973992,2.0736568735812346,0,0.9981577115988793,8,0,1,0,0,1.0
2025-06-09 09:00:00,2.2413,2.2608,2.237,2.251,31963729.0,56.324000672174,57.47534330209403,0.003909709353478341,0.008634744811517119,-0.004725035458038778,40.983606557376824,0.015411856873749435,0.6846671201132579,3.535475152447369,0.4144378527329552,1,0.3498075930624119,1.1760266928375844,2.489763707643986,0,1.8522372706548642,9,0,1,0,0,1.0
2025-06-09 10:00:00,2.2511,2.2682,2.2469,2.2587,31507251.9,59.69140804246305,59.69453835869824,0.0048022615974017135,0.007868248168694037,-0.003065986571292324,56.01783060921265,0.015832438525624482,0.7009535806271077,3.4718187052888974,0.521184186612095,1,0.6266536527850579,1.4615563340378521,2.811293909358601,0,1.77720535808555,10,0,1,0,0,0.0
2025-06-09 11:00:00,2.2588,2.2693,2.2552,2.268,27060052.3,63.36526904151556,62.19643270684402,0.006188708379992303,0.007532340210953691,-0.0013436318309613888,88.01498127340787,0.015708692916651303,0.6926231444731615,3.4117393458599916,0.647941961220583,1,0.9409018101241028,1.8042870522286152,3.2013948805244357,0,1.4894566598830132,11,0,1,0,0,0.0
2025-06-09 12:00:00,2.268,2.2686,2.2564,2.266,17737871.4,62.05537481941916,61.33670318182308,0.007044885108460797,0.007434849190455112,-0.00038996408199431544,93.1677018633543,0.01545807199403335,0.6821744039732281,3.3237607631316535,0.6332947314204298,1,0.7701315898694971,1.6461699471269697,3.078486456541825,0,0.9670811354396495,12,0,1,0,0,0.0
2025-06-09 13:00:00,2.2661,2.2661,2.2378,2.2446,33538906.1,50.117149617036496,53.09161378990841,0.005928272743489504,0.007133533901061991,-0.0012052611575724863,48.86128364389269,0.016375352565888093,0.7295443538219768,3.2112696157979035,0.36648805582821775,1,-0.1642760806754553,0.659139893597531,2.083636081966989,0,1.7745762109161773,13,0,0,1,0,1.0
2025-06-09 14:00:00,2.2446,2.2624,2.2444,2.2534,23894803.6,54.033282649402445,55.66485932609139,0.0056878696342552715,0.006844401047700647,-0.0011565314134453757,67.08074534161517,0.016491398811181786,0.7318451589234839,2.9942967492483317,0.5090430365575985,1,0.20545585394561844,1.0120333297392943,2.458534433391535,0,1.2427855651656086,14,0,0,1,0,1.0
2025-06-09 15:00:00,2.2534,2.2641,2.2507,2.2616,13807487.2,57.390134692838245,57.923222022865254,0.006088831646858139,0.006693287167532145,-0.0006044555206740059,84.05797101449306,0.016270584610383075,0.7194280425531958,2.6728933362277267,0.6679127609733276,1,0.5155230994648463,1.324791502215117,2.8024130548068253,0,0.7146914127056044,15,0,0,1,0,1.0
